Time,Amount,Balance,"Balance, USD",Price
2019-11-15 07:08:57+00:00,500.0,"152,602.14066122 BTC","$1,317,932,521 @ $8,636.4",8636.4
2019-11-15 04:01:41+00:00,500.0,"152,102.14066122 BTC","$1,311,173,566 @ $8,620.35",8620.35
2019-11-15 03:54:22+00:00,500.0,"151,602.14066122 BTC","$1,306,863,392 @ $8,620.35",8620.35
2019-11-14 09:23:24+00:00,100.0,"151,102.14066122 BTC","$1,317,037,030 @ $8,716.2",8716.2
2019-10-24 07:16:53+00:00,-0.00065016,"151,001.1306516 BTC","$1,123,156,516 @ $7,438.07",7438.07
2019-09-17 06:54:13+00:00,-0.00065016,"151,000.13105021 BTC","$1,546,167,087 @ $10,239.51",10239.51
2019-09-15 16:29:31+00:00,-0.00065016,"151,000.13170037 BTC","$1,559,614,545 @ $10,328.56",10328.56
2019-09-02 12:09:02+00:00,-0.00065016,"151,000.13223009 BTC","$1,488,268,541 @ $9,856.07",9856.07
2019-08-27 09:39:50+00:00,-0.00065016,"151,000.13287125 BTC","$1,533,028,932 @ $10,152.5",10152.5
2019-08-07 09:33:03+00:00,-0.00032781,"151,000.13183885 BTC","$1,759,277,792 @ $11,650.84",11650.84
2019-06-05 03:12:23+00:00,36000.0,"151,000.12931137 BTC","$1,179,479,196 @ $7,811.11",7811.11
2019-06-05 02:59:17+00:00,906.36874164,"115,000.12931137 BTC","$905,086,431 @ $7,870.31",7870.31
2019-06-05 02:47:53+00:00,74550.09015089,"114,093.76056973 BTC","$897,953,030 @ $7,870.31",7870.31
2019-06-05 02:38:43+00:00,5000.0,"39,543.67041884 BTC","$311,220,863 @ $7,870.31",7870.31
2019-05-24 04:24:02+00:00,2138.58020581,"34,543.67041884 BTC","$270,242,874 @ $7,823.22",7823.22
2019-05-24 04:13:57+00:00,2573.34195962,"32,405.09021303 BTC","$253,512,282 @ $7,823.22",7823.22
2019-05-24 04:07:01+00:00,400.0,"29,831.74825341 BTC","$233,380,451 @ $7,823.22",7823.22
2019-05-24 01:41:21+00:00,6108.50718403,"29,431.74824795 BTC","$231,385,255 @ $7,861.76",7861.76
2019-05-24 01:13:52+00:00,7671.73525033,"23,323.24106392 BTC","$183,361,656 @ $7,861.76",7861.76
2019-05-15 07:00:05+00:00,-0.00030503,"15,651.50581359 BTC","$124,643,278 @ $7,963.66",7963.66
2019-05-09 07:31:03+00:00,2877.78608507,"15,651.5061077 BTC","$95,450,196 @ $6,098.47",6098.47
2019-05-09 03:54:20+00:00,4078.0,"12,773.72002263 BTC","$77,632,348 @ $6,077.51",6077.51
2019-05-08 16:53:24+00:00,2190.0,"8,695.72002263 BTC","$51,512,345 @ $5,923.87",5923.87
2019-05-08 16:40:32+00:00,6505.71636947,"6,505.72002263 BTC","$38,539,062 @ $5,923.87",5923.87
2019-05-08 13:25:29+00:00,-0.00032781,0.00365316 BTC,"$22 @ $5,904.28",5904.28
2019-01-25 09:58:54+00:00,-0.00102449,0.00397551 BTC,"$14 @ $3,569.25",3569.25
