Time,Amount,Balance,"Balance, USD",Price
2019-12-29 16:44:28+00:00,1268.89588694,"70,787.004041 BTC","$528,287,140 @ $7,463.05",7463.05
2019-12-25 11:01:05+00:00,-13349.6474017,"69,518.10815406 BTC","$508,648,313 @ $7,316.77",7316.77
2019-12-23 06:30:27+00:00,1432.82287164,"82,867.75555576 BTC","$623,916,727 @ $7,529.07",7529.07
2019-12-23 02:27:26+00:00,1959.79076875,"81,434.93268412 BTC","$618,491,391 @ $7,594.91",7594.91
2019-12-19 02:51:32+00:00,1797.75501485,"79,475.14191537 BTC","$575,813,698 @ $7,245.21",7245.21
2019-12-18 22:59:54+00:00,1105.50704396,"77,677.38690052 BTC","$566,351,183 @ $7,291.07",7291.07
2019-12-18 22:36:55+00:00,1248.65450388,"76,571.87985656 BTC","$558,290,855 @ $7,291.07",7291.07
2019-12-13 20:48:57+00:00,1751.09882733,"75,323.22535268 BTC","$547,046,653 @ $7,262.66",7262.66
2019-12-10 04:38:53+00:00,1501.16274648,"73,572.12652535 BTC","$545,105,644 @ $7,409.13",7409.13
2019-12-07 16:30:55+00:00,1244.20604279,"72,070.96377887 BTC","$545,000,621 @ $7,562",7562.0
2019-12-06 22:30:18+00:00,1308.6344295,"70,826.75773608 BTC","$532,685,981 @ $7,520.97",7520.97
2019-12-03 15:46:22+00:00,-21055.58773651,"69,518.12009658 BTC","$510,890,083 @ $7,349.02",7349.02
2019-11-25 12:03:20+00:00,4280.69414375,"90,573.70783309 BTC","$634,742,640 @ $7,008.02",7008.02
2019-11-24 08:24:04+00:00,1422.19930656,"86,293.01368934 BTC","$624,458,383 @ $7,236.49",7236.49
2019-11-23 02:31:31+00:00,1006.22841777,"84,870.81438278 BTC","$616,443,357 @ $7,263.31",7263.31
2019-11-22 18:28:14+00:00,1790.70467146,"83,864.58596501 BTC","$609,113,265 @ $7,263.06",7263.06
2019-11-22 14:30:27+00:00,1736.26965114,"82,073.88129355 BTC","$582,035,791 @ $7,091.61",7091.61
2019-11-22 06:28:32+00:00,1991.03414361,"80,337.61164241 BTC","$603,536,389 @ $7,512.5",7512.5
2019-11-20 10:21:35+00:00,1030.42343561,"78,346.5774988 BTC","$641,042,481 @ $8,182.14",8182.14
2019-11-19 02:59:58+00:00,1720.66340249,"77,316.15406319 BTC","$638,286,133 @ $8,255.53",8255.53
2019-11-15 16:35:35+00:00,1056.31764605,"75,595.49060185 BTC","$643,149,809 @ $8,507.78",8507.78
2019-11-13 16:34:02+00:00,2030.40753991,"74,539.17240496 BTC","$657,282,962 @ $8,817.95",8817.95
2019-11-11 10:37:45+00:00,1019.80619191,"72,508.76486505 BTC","$632,997,344 @ $8,729.94",8729.94
2019-11-09 08:31:07+00:00,1029.07921205,"71,488.95867314 BTC","$632,500,233 @ $8,847.52",8847.52
2019-11-07 22:24:33+00:00,1189.73500202,"70,459.87946109 BTC","$653,152,452 @ $9,269.85",9269.85
2019-11-05 10:25:02+00:00,-110572.30621503,"69,270.14445907 BTC","$645,544,799 @ $9,319.24",9319.24
2019-10-31 18:36:12+00:00,1324.46834184,"179,842.45044355 BTC","$1,663,520,906 @ $9,249.88",9249.88
2019-10-29 16:58:35+00:00,1774.11469761,"178,517.9820857 BTC","$1,665,714,351 @ $9,330.79",9330.79
2019-10-29 02:24:11+00:00,1061.66718946,"176,743.86738809 BTC","$1,640,999,007 @ $9,284.62",9284.62
2019-10-28 10:49:45+00:00,1010.56578539,"175,682.20019863 BTC","$1,653,708,289 @ $9,413.07",9413.07
2019-10-27 00:23:52+00:00,1365.63077322,"174,671.63441324 BTC","$1,604,402,129 @ $9,185.25",9185.25
2019-10-26 12:23:51+00:00,1516.39532566,"173,306.00364002 BTC","$1,594,617,184 @ $9,201.17",9201.17
2019-10-24 04:31:49+00:00,1080.35838454,"171,789.60831436 BTC","$1,277,126,775 @ $7,434.25",7434.25
2019-10-23 16:56:45+00:00,1623.99073892,"170,709.24992982 BTC","$1,277,309,169 @ $7,482.37",7482.37
2019-10-23 12:26:35+00:00,1634.93066016,"169,085.2591909 BTC","$1,271,145,230 @ $7,517.78",7517.78
2019-10-22 20:22:05+00:00,1191.19806777,"167,450.32853074 BTC","$1,360,447,027 @ $8,124.48",8124.48
2019-10-22 16:31:56+00:00,1293.22355866,"166,259.13046297 BTC","$1,366,610,168 @ $8,219.76",8219.76
2019-10-22 16:18:03+00:00,1301.65106717,"164,965.90690431 BTC","$1,355,980,181 @ $8,219.76",8219.76
2019-10-10 11:21:31+00:00,1220.1876774,"163,664.25222585 BTC","$1,392,491,343 @ $8,508.22",8508.22
2019-10-10 00:59:52+00:00,1075.13099424,"162,444.06453428 BTC","$1,392,169,609 @ $8,570.15",8570.15
2019-10-08 18:26:12+00:00,1035.89798656,"161,368.93354004 BTC","$1,322,176,804 @ $8,193.5",8193.5
2019-10-03 16:08:49+00:00,1499.79170093,"160,333.03549148 BTC","$1,311,544,537 @ $8,180.13",8180.13
2019-09-25 04:35:00+00:00,2405.78112403,"158,832.34331587 BTC","$1,351,726,909 @ $8,510.4",8510.4
2019-09-24 22:35:19+00:00,3264.79513223,"156,426.56219184 BTC","$1,357,505,685 @ $8,678.23",8678.23
2019-09-24 21:06:11+00:00,1169.81936984,"153,161.76705961 BTC","$1,331,990,146 @ $8,696.62",8696.62
2019-09-19 10:21:59+00:00,1215.93810952,"151,991.94739108 BTC","$1,501,453,797 @ $9,878.51",9878.51
2019-09-19 04:30:14+00:00,2870.3770011,"150,776.00928156 BTC","$1,488,400,982 @ $9,871.6",9871.6
2019-09-18 20:22:28+00:00,1360.1450569,"147,905.63228046 BTC","$1,510,597,230 @ $10,213.25",10213.25
