Time,Amount,Balance,"Balance, USD",Price
2019-09-24 23:55:53+00:00,1000.0,"32,543.47706396 BTC","$280,717,601 @ $8,625.93",8625.93
2019-09-24 22:44:27+00:00,-1000.00028426,"31,543.47706396 BTC","$273,741,549 @ $8,678.23",8678.23
2019-09-24 22:19:27+00:00,-2000.00056852,"32,543.47734822 BTC","$282,419,781 @ $8,678.23",8678.23
2019-09-24 20:04:17+00:00,-1000.00015844,"34,543.47791674 BTC","$292,726,961 @ $8,474.16",8474.16
2019-09-23 23:10:12+00:00,1000.0,"35,543.47807518 BTC","$345,113,101 @ $9,709.6",9709.6
2019-09-19 14:19:27+00:00,-1000.00015844,"34,543.47807518 BTC","$341,931,796 @ $9,898.59",9898.59
2019-09-19 14:07:15+00:00,-1000.00015844,"35,543.47823362 BTC","$351,830,390 @ $9,898.59",9898.59
2019-09-16 16:47:41+00:00,2001.0,"36,543.47839206 BTC","$371,897,770 @ $10,176.86",10176.86
2019-09-16 16:21:57+00:00,1001.0,"34,542.47839206 BTC","$351,533,879 @ $10,176.86",10176.86
2019-09-06 22:26:37+00:00,1001.0,"33,541.47838206 BTC","$346,940,124 @ $10,343.61",10343.61
2019-09-05 17:12:37+00:00,1001.0,"32,540.47838206 BTC","$342,954,157 @ $10,539.31",10539.31
2019-09-03 20:07:24+00:00,1001.0,"31,539.47838206 BTC","$337,625,672 @ $10,704.86",10704.86
2019-09-03 15:13:10+00:00,1001.0,"30,538.47838206 BTC","$326,029,489 @ $10,676.02",10676.02
2019-08-30 15:51:39+00:00,-1000.00029206,"29,537.47838206 BTC","$283,174,626 @ $9,586.96",9586.96
2019-08-30 15:37:02+00:00,-1000.00136102,"30,537.47867412 BTC","$292,761,588 @ $9,586.96",9586.96
2019-08-26 21:52:02+00:00,1001.0,"31,537.48003514 BTC","$325,267,795 @ $10,313.69",10313.69
2019-08-20 17:16:42+00:00,1001.0,"30,536.48003514 BTC","$327,937,441 @ $10,739.2",10739.2
2019-08-19 18:56:04+00:00,1001.0,"29,535.48003514 BTC","$316,958,408 @ $10,731.45",10731.45
2019-08-16 20:58:49+00:00,1001.0,"28,534.48003514 BTC","$297,461,498 @ $10,424.63",10424.63
2019-08-16 16:41:38+00:00,-4599.00081605,"27,533.47993514 BTC","$288,690,627 @ $10,485.08",10485.08
2019-08-08 18:46:39+00:00,501.0,"32,132.48075119 BTC","$373,422,798 @ $11,621.35",11621.35
2019-08-07 17:07:24+00:00,501.0,"31,631.48075119 BTC","$372,505,514 @ $11,776.42",11776.42
2019-08-06 14:44:45+00:00,1001.0,"31,130.48075119 BTC","$365,174,201 @ $11,730.44",11730.44
2019-08-05 16:16:59+00:00,1001.0,"30,129.48075119 BTC","$357,523,521 @ $11,866.24",11866.24
2019-08-05 13:49:04+00:00,1001.0,"29,128.48075119 BTC","$342,747,213 @ $11,766.74",11766.74
2019-08-02 15:10:25+00:00,501.0,"28,127.48075119 BTC","$297,144,497 @ $10,564.21",10564.21
2019-07-26 21:04:21+00:00,-1000.0004427000001,"27,626.48075119 BTC","$271,350,322 @ $9,822.11",9822.11
